,cv_f1_macro,cv_precision_macro,cv_recall_macro,cv_false_positive_rate_macro,test_f1_macro,test_precision_macro,test_recall_macro
random_forest,0.9998939746877208,0.9999043364945206,0.9998836451642931,3.18828381862516e-05,0.9997915189416116,0.9997955974849394,0.9997875399980533
xgboost,1.0,1.0,1.0,0.0,0.9999403059523889,0.9999737098088702,0.9999069161314345
mlp,0.9926799502341358,0.9888157749263602,0.9966533766748741,0.0025445840994090915,0.9936424899830225,0.9903384682224537,0.9970268521924055
